sample_id,Acetate Producers,Butyrate Producers,Colonization Resistance,Depleted in IBD,Dysbiosis Bloom Indicators,Enriched in IBD,H2S Producers,LPS-High (Endotoxemia) Producers,Mucin Degraders,Oxidative Stress Taxa (OST),Propionate Producers,Secondary Bile Acid Producers,TMAO Precursor Producers,Tryptophan Metabolite Producers,fastq_filename,mouse_id,Day,genotype,trt,phenotype,sex,deletion,wt_chg_pct,fat_pct,lean_pct,group_id,output_label,IBD_score,OST_index
OPA01,9.087767353155759e-4,0.005286264671624406,0.006271839440910313,0.001894351504601482,0.01171170018047538,0.010790123772831416,1.663957402690491e-4,0.010790123772831416,0.0036479066135906924,0.011519705095549554,0.016191585495411318,3.327914805380982e-4,0.011378908699937282,0.013209261842896822,OPA01.fastq,4549,0,opa1floxed_villincre,none,wt,m,opa1,0,2.34,90.35,untreated_opa1floxed_vilcre_d0,D0 opa1flox/vilcre  noTAM (OPA1+),-0.06947650108713832,-0.04257400903161064
OPA03,0.001478895434819502,0.010049215700535796,0.008170291172691347,0.003079011806919291,0.011370523916890925,0.009370378451766189,3.2729653065677506e-4,0.009370378451766189,0.0031153780881033773,0.010861395980313718,0.012934274007806628,3.6366281184086114e-4,0.010703808761849346,0.011261425073338667,OPA03.fastq,4550,0,opa1floxed_villincre,none,wt,m,opa1,0,0.6,91.62,untreated_opa1floxed_vilcre_d0,D0 opa1flox/vilcre  noTAM(OPA1+),-0.08830448789990261,-0.06570764965909942
OPA05,0.0015001500150015,0.010999099909991,0.004722472247224723,0.002226222622262226,0.010039003900390038,0.008340834083408341,3.0003000300030005e-4,0.008340834083408341,0.0030423042304230426,0.009696969696969697,0.0159015901590159,1.8601860186018602e-4,0.009450945094509451,0.010129012901290129,OPA05.fastq,4558,0,opa1floxed_villincre,none,wt,f,opa1,0,13.44,76.82,untreated_opa1floxed_vilcre_d0,D0 opa1flox/vilcre  noTAM(OPA1+),-0.06960306733686399,-0.04727177698925697
OPA07,0.0017225764060307934,0.010379854735309264,0.002823604624318517,0.0019090408623537143,0.007716076787838966,0.005869190744259558,3.107740938715349e-4,0.005869190744259558,0.0031698957574896555,0.00731651009571842,0.020102644243575853,8.879259824900997e-5,0.007059011560796292,0.007698318268189163,OPA07.fastq,4559,0,opa1floxed_villincre,none,wt,f,opa1,0,2.25,88.86,untreated_opa1floxed_vilcre_d0,D0 opa1flox/vilcre  noTAM(OPA1+),-0.08356141298979017,-0.05873704885262858
OPA09,0.0014869947597350446,0.006369426751592357,0.010273781976351218,0.0014233800106554706,0.005669664511717042,0.004906287522762153,1.8289240360377555e-4,0.004906287522762153,0.0034351964502970012,0.005598097919002521,0.016007061237147832,2.3855530904840289e-4,0.005454964733573479,0.00692605580603863,OPA09.fastq,4560,0,opa1floxed_villincre,none,wt,f,opa1,0,7.63,83.59,untreated_opa1floxed_vilcre_d0,D0 opa1flox/vilcre  noTAM(OPA1+),-0.04432592022804913,-0.02742585009388928
OPA11,0.0011221279961737274,0.005550854472875775,0.017765493644340612,0.002313239270800758,0.00542668457165983,0.004539099722227332,1.8395540920880779e-4,0.004539099722227332,0.006249885027869244,0.005311712440904325,0.03154835267931053,2.3454314674122993e-4,0.00519674031014882,0.008544728757749122,OPA11.fastq,4548,0,opa1floxed_villincre,none,wt,f,opa1,0,5.08,86.18,untreated_opa1floxed_vilcre_d0,D0 opa1flox/vilcre  noTAM(OPA1+),-0.03663921118282976,-0.011351786586412182
OPA02,0.0018766519823788547,0.009973568281938325,0.00839647577092511,0.007894273127753305,0.008837004405286343,0.006863436123348017,2.907488986784141e-4,0.006863436123348017,0.0038502202643171807,0.008325991189427312,0.02435242290748899,1.145374449339207e-4,0.008070484581497797,0.009145374449339206,OPA02.fastq,4549,8,opa1floxed_villincre,tam,opa1_ko,m,opa1,-3.1,2.02,88.71,opa1floxed_vilcre_tam_d8,"D8 opa1 flox/vilcre +TAM (OPA1-, Vilcre+)",-0.10743623597522912,-0.07950546627702065
OPA04,0.002000443557329785,0.01189177201153249,0.009057440674207141,0.005389221556886228,0.005783987580394766,0.0037081392770015524,1.907296518074961e-4,0.0037081392770015524,0.0035129740518962077,0.00527389665114216,0.013337768906631181,2.084719449988911e-4,0.005003326679973386,0.005828343313373254,OPA04.fastq,4550,8,opa1floxed_villincre,tam,opa1_ko,m,opa1,-12.37,0.62,100.05,opa1floxed_vilcre_tam_d8,"D8 opa1 flox/vilcre +TAM (OPA1-, Vilcre+)",-0.08097402226319415,-0.060124459737064526
OPA06,7.997820374227683e-4,0.004262574595055414,0.0044207732398203565,7.734155966286112e-4,0.006846485792882819,0.005765461720322373,1.5819864476494317e-4,0.005765461720322373,0.0035594695072112214,0.0064597779945685125,0.007083783760030234,1.4062101756883837e-4,0.006257635281813308,0.007479280371942591,OPA06.fastq,4558,8,opa1floxed_villincre,tam,opa1_ko,f,opa1,-17.16,3.58,88.38,opa1floxed_vilcre_tam_d8,"D8 opa1 flox/vilcre +TAM (OPA1-, Vilcre+)",-0.026471755523217358,-0.010755390924725492
OPA08,0.0015478247802239086,0.011210459087835299,0.008169910085906779,0.0020587572319483056,0.004873894858116062,0.002614771958824855,0.00035564905953364893,0.002614771958824855,0.002003656673429008,0.0043529441230245195,0.005680366669171238,2.755027925964886e-4,0.004057404763693741,0.0037819019710972524,OPA08.fastq,4559,8,opa1floxed_villincre,tam,opa1_ko,f,opa1,5.85,1.92,86.18,opa1floxed_vilcre_tam_d8,"D8 opa1 flox/vilcre +TAM (OPA1-, Vilcre+)",-0.05675827831516454,-0.0431079233474443
